,label,concept,0,1,2,,MEAN,STD,,0,1,2
B01001A_001E,Estimate!!Total:,SEX BY AGE (WHITE ALONE)," 11,168.76 "," 2,397.07 "," 9,320.02 ",," 7,628.62 "," 3,775.47 ",, 0.94 , (1.39), 0.45 
B01001A_017E,Estimate!!Total:!!Female:,SEX BY AGE (WHITE ALONE)," 5,608.47 "," 1,200.46 "," 4,709.21 ",," 3,839.38 "," 1,901.77 ",, 0.93 , (1.39), 0.46 
B01001_002E,Estimate!!Total:!!Male:,SEX BY AGE," 8,897.25 "," 1,870.00 "," 6,265.28 ",," 5,677.51 "," 2,898.81 ",, 1.11 , (1.31), 0.20 
B01001_026E,Estimate!!Total:!!Female:,SEX BY AGE," 9,091.00 "," 1,925.49 "," 6,414.74 ",," 5,810.41 "," 2,956.36 ",, 1.11 , (1.31), 0.20 
B01002_001E,Estimate!!Median age --!!Total:,MEDIAN AGE BY SEX," (498,897.60)"," (273,966.27)", 42.21 ,," (257,607.22)"," 204,019.52 ",, (1.18), (0.08), 1.26 
B01002_002E,Estimate!!Median age --!!Male,MEDIAN AGE BY SEX," (1,247,308.10)"," (2,466,048.56)"," (400,419.32)",," (1,371,258.66)"," 847,832.08 ",, 0.15 , (1.29), 1.15 
B01002_003E,Estimate!!Median age --!!Female,MEDIAN AGE BY SEX," (1,496,776.40)"," (1,095,995.87)"," (400,417.44)",," (997,729.91)"," 452,948.04 ",, (1.10), (0.22), 1.32 
B01003_001E,Estimate!!Total,TOTAL POPULATION," 17,988.25 "," 3,795.48 "," 12,680.02 ",," 11,487.92 "," 5,855.17 ",, 1.11 , (1.31), 0.20 
B07009_002E,Estimate!!Total!!Less than high school graduate,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES," 1,607.69 ", 436.34 , 784.41 ,, 942.81 , 491.15 ,, 1.35 , (1.03), (0.32)
B07009_003E,Estimate!!Total!!High school graduate (includes equivalency),GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES," 3,177.24 ", 964.25 ," 2,262.89 ",," 2,134.79 ", 907.98 ,, 1.15 , (1.29), 0.14 
