,0,1,2,3,4,5
B01001A_001E,868.1650485436893,7958.947140381282,14430.831889081455,11236.495055945876,9822.298943794794,3187.4286924597573
B01001A_017E,429.252427184466,3957.542461005199,7198.641247833622,5655.830601092896,4965.51942663146,1600.3925444789606
B01001_002E,482.24271844660194,9270.389948006932,15460.454072790295,8120.637262555295,6547.732553753301,2189.931657723807
B01001_026E,465.6067961165049,9707.466204506065,15692.376083188909,8273.391100702576,6709.520841192003,2233.5052245128495
B01002_001E,44.57281553398058,-1155362.7224436742,40.10121317157713,-346908.2117876659,41.84970765748774,-188226.71262355265
B01002_002E,43.2757281553398,-2310765.1956672445,39.057538994800694,-1127549.202823315,-377175.3133534515,-1694393.6425868399
B01002_003E,45.67038834951457,-1733062.7019064124,41.082322357019066,-1561236.6298204528,-314304.00664843456,-753038.1836204462
B01003_001E,947.8495145631068,18977.856152513,31152.8301559792,16394.028363257872,13257.253394945305,4423.436882236656
B07009_002E,55.092233009708735,2376.991334488735,3774.5597920277296,1230.7301587301588,793.5528102602791,449.2174526969782
B07009_003E,210.39320388349515,4062.990467937608,4297.993067590988,2842.1338797814205,2353.4053187476425,1113.518780005648
B07009_004E,229.60679611650485,3568.318890814558,5481.844020797227,3397.1813687223525,2512.8141267446244,903.7034735950297
B07009_005E,106.5873786407767,1613.2357019064125,4910.107452339688,2352.8963049700756,2047.2013391173143,365.55436317424454
B07009_006E,46.62621359223301,868.8310225303293,3067.4124783362217,1402.2985948477751,1405.5418709920784,200.89833380401018
B08006_017E,34.786407766990294,549.2400346620451,1682.7729636048527,811.0304449648712,622.3779705771407,106.530076249647
B08101_049E,34.786407766990294,549.2400346620451,1682.7729636048527,811.0304449648712,622.3779705771407,106.530076249647
B19019_001E,-9651010.665048543,-10351486.554592721,-6845942.287694974,-8864375.633619567,-4764483.165975104,-19338276.66308952
B25013_002E,284.747572815534,3444.2019064124784,5160.006932409012,3971.621259432735,3474.4821765371557,1157.7048856255294
B25027_010E,164.51456310679612,1507.5095320623916,1668.6048526863085,1429.7252146760343,1288.5329121086384,565.4216323072578
B25031_001E,-155339293.36893204,-37549652.180242635,-25417151.428076256,-43107626.37431694,-39292354.18766503,-104301338.4487433
B25032_013E,85.84466019417475,3641.2928942807625,5386.941074523397,2135.991673172001,1651.513768389287,542.9031347077097
B25036_002E,284.747572815534,3444.2019064124784,5160.006932409012,3971.621259432735,3474.4821765371557,1157.7048856255294
B25038_009E,85.84466019417475,3641.2928942807625,5386.941074523397,2135.991673172001,1651.513768389287,542.9031347077097
B25042_009E,85.84466019417475,3641.2928942807625,5386.941074523397,2135.991673172001,1651.513768389287,542.9031347077097
B25056_001E,85.84466019417475,3641.2928942807625,5386.941074523397,2135.991673172001,1651.513768389287,542.9031347077097
B25087_001E,284.747572815534,3444.2019064124784,5160.006932409012,3971.621259432735,3474.4821765371557,1157.7048856255294
B25087_002E,120.23300970873787,1936.6923743500868,3491.4020797227035,2541.8960447567006,2185.9492644285174,592.2832533182717
